Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.995,0.005,0.000,0.000,0.000,0.000,0
1,1,0.036,0.960,0.004,0.000,0.000,0.000,0
1,2,0.000,0.051,0.943,0.006,0.000,0.000,0
1,3,0.000,0.000,0.273,0.727,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.984,0.016,0.000,0.000,0.000,0.000,0
2,1,0.165,0.826,0.009,0.000,0.000,0.000,0
2,2,0.029,0.224,0.747,0.000,0.000,0.000,0
2,3,0.000,0.000,0.556,0.444,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.993,0.007,0.000,0.000,0.000,0.000,0
3,1,0.069,0.924,0.007,0.000,0.000,0.000,0
3,2,0.000,0.156,0.844,0.000,0.000,0.000,0
3,3,0.000,0.000,0.250,0.750,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.028,0.972,0.000,0.000,0.000,0.000,0
4,2,0.000,0.090,0.910,0.000,0.000,0.000,0
4,3,0.000,0.000,0.000,1.000,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.968,0.032,0.000,0.000,0.000,0.000,0
5,1,0.291,0.695,0.013,0.001,0.000,0.000,0
5,2,0.050,0.397,0.529,0.025,0.000,0.000,0
5,3,0.000,0.000,0.000,1.000,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.075,0.925,0.000,0.000,0.000,0.000,0
6,2,0.000,0.075,0.925,0.000,0.000,0.000,0
6,3,0.000,0.000,0.143,0.857,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,1.000,0.000,0.000,0.000,0.000,0.000,0
7,1,0.042,0.958,0.000,0.000,0.000,0.000,0
7,2,0.000,0.160,0.840,0.000,0.000,0.000,0
7,3,0.000,0.000,0.000,1.000,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.991,0.009,0.000,0.000,0.000,0.000,0
8,1,0.100,0.896,0.003,0.000,0.000,0.000,0
8,2,0.000,0.190,0.810,0.000,0.000,0.000,0
8,3,0.000,0.167,0.167,0.667,0.000,0.000,0
8,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,1.000,0.000,0.000,0.000,0.000,0.000,0
9,1,0.051,0.949,0.000,0.000,0.000,0.000,0
9,2,0.000,0.091,0.909,0.000,0.000,0.000,0
9,3,0.000,0.250,0.250,0.500,0.000,0.000,0
9,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0,1.000,0.000,0.000,0.000,0.000,0.000,0
10,1,0.000,1.000,0.000,0.000,0.000,0.000,0
10,2,0.000,0.000,1.000,0.000,0.000,0.000,0
10,3,0.000,0.000,0.000,1.000,0.000,0.000,0
10,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0,0.982,0.018,0.000,0.000,0.000,0.000,0
11,1,0.347,0.642,0.011,0.000,0.000,0.000,0
11,2,0.137,0.392,0.471,0.000,0.000,0.000,0
11,3,0.000,0.000,0.500,0.500,0.000,0.000,0
11,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0,1.000,0.000,0.000,0.000,0.000,0.000,0
12,1,0.022,0.978,0.000,0.000,0.000,0.000,0
12,2,0.000,0.118,0.882,0.000,0.000,0.000,0
12,3,0.000,0.000,1.000,0.000,0.000,0.000,0
12,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0,1.000,0.000,0.000,0.000,0.000,0.000,0
13,1,0.063,0.937,0.000,0.000,0.000,0.000,0
13,2,0.000,0.161,0.839,0.000,0.000,0.000,0
13,3,0.000,0.000,0.000,0.000,0.000,0.000,0
13,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0,0.990,0.010,0.000,0.000,0.000,0.000,0
14,1,0.181,0.819,0.000,0.000,0.000,0.000,0
14,2,0.154,0.269,0.577,0.000,0.000,0.000,0
14,3,0.000,0.000,0.000,0.000,0.000,0.000,0
14,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0,0.995,0.005,0.000,0.000,0.000,0.000,0
15,1,0.100,0.900,0.000,0.000,0.000,0.000,0
15,2,0.000,0.067,0.933,0.000,0.000,0.000,0
15,3,0.000,0.000,0.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,1.000,0.000,0.000,0.000,0.000,0.000,0
16,1,0.000,1.000,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.975,0.025,0.000,0.000,0.000,0.000,0
17,1,0.274,0.722,0.004,0.000,0.000,0.000,0
17,2,0.071,0.429,0.500,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,1.000,0.000,0.000,0.000,0.000,0.000,0
18,1,0.047,0.953,0.000,0.000,0.000,0.000,0
18,2,0.000,0.000,1.000,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.054,0.946,0.000,0.000,0.000,0.000,0
19,2,0.000,0.111,0.889,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,0.990,0.009,0.000,0.000,0.000,0.000,0
20,1,0.164,0.836,0.000,0.000,0.000,0.000,0
20,2,0.000,0.125,0.875,0.000,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,0.995,0.005,0.000,0.000,0.000,0.000,0
21,1,0.058,0.942,0.000,0.000,0.000,0.000,0
21,2,0.000,0.125,0.875,0.000,0.000,0.000,0
21,3,0.000,0.000,0.000,0.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.058,0.942,0.000,0.000,0.000,0.000,0
22,2,0.000,0.000,1.000,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,0.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.907,0.091,0.002,0.000,0.000,0.000,0
23,1,0.704,0.280,0.016,0.000,0.000,0.000,0
23,2,0.857,0.143,0.000,0.000,0.000,0.000,0
23,3,0.000,0.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,0.996,0.004,0.000,0.000,0.000,0.000,0
24,1,0.095,0.903,0.002,0.000,0.000,0.000,0
24,2,0.059,0.294,0.647,0.000,0.000,0.000,0
24,3,0.000,0.000,0.000,0.000,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
