Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.972,0.028,0.000,0.000,0.000,0.000,0
1,1,0.039,0.942,0.018,0.000,0.000,0.000,0
1,2,0.000,0.072,0.920,0.008,0.000,0.000,0
1,3,0.000,0.000,0.111,0.889,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,1.000,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.990,0.010,0.000,0.000,0.000,0.000,0
2,1,0.183,0.811,0.005,0.000,0.000,0.000,0
2,2,0.039,0.276,0.681,0.004,0.000,0.000,0
2,3,0.000,0.056,0.611,0.333,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,1.000,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.991,0.009,0.000,0.000,0.000,0.000,0
3,1,0.179,0.816,0.005,0.000,0.000,0.000,0
3,2,0.041,0.273,0.686,0.000,0.000,0.000,0
3,3,0.000,0.000,0.286,0.714,0.000,0.000,0
3,4,0.000,1.000,0.000,0.000,0.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.073,0.927,0.000,0.000,0.000,0.000,0
4,2,0.000,0.135,0.865,0.000,0.000,0.000,0
4,3,0.000,0.000,0.200,0.800,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.982,0.018,0.000,0.000,0.000,0.000,0
5,1,0.132,0.852,0.016,0.001,0.000,0.000,0
5,2,0.024,0.309,0.667,0.000,0.000,0.000,0
5,3,0.000,0.000,0.500,0.500,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.129,0.871,0.000,0.000,0.000,0.000,0
6,2,0.020,0.149,0.832,0.000,0.000,0.000,0
6,3,0.000,0.000,0.000,1.000,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,0.982,0.018,0.000,0.000,0.000,0.000,0
7,1,0.075,0.914,0.011,0.000,0.000,0.000,0
7,2,0.000,0.083,0.917,0.000,0.000,0.000,0
7,3,0.000,0.000,0.333,0.667,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,0.000,0.000,0
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.986,0.014,0.000,0.000,0.000,0.000,0
8,1,0.140,0.843,0.017,0.000,0.000,0.000,0
8,2,0.023,0.239,0.739,0.000,0.000,0.000,0
8,3,0.000,0.000,0.500,0.500,0.000,0.000,0
8,4,0.000,0.000,0.000,0.000,0.000,0.000,0
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,1.000,0.000,0.000,0.000,0.000,0.000,0
9,1,0.133,0.867,0.000,0.000,0.000,0.000,0
9,2,0.037,0.235,0.728,0.000,0.000,0.000,0
9,3,0.000,0.000,0.000,1.000,0.000,0.000,0
9,4,0.000,0.000,0.000,0.000,0.000,0.000,0
9,5,0.000,0.000,0.000,0.000,0.000,0.000,0
9,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0,1.000,0.000,0.000,0.000,0.000,0.000,0
10,1,0.084,0.916,0.000,0.000,0.000,0.000,0
10,2,0.000,0.119,0.881,0.000,0.000,0.000,0
10,3,0.000,0.000,0.000,1.000,0.000,0.000,0
10,4,0.000,0.000,0.000,0.000,0.000,0.000,0
10,5,0.000,0.000,0.000,0.000,0.000,0.000,0
10,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0,0.957,0.043,0.000,0.000,0.000,0.000,0
11,1,0.218,0.751,0.030,0.000,0.000,0.000,0
11,2,0.019,0.250,0.692,0.038,0.000,0.000,0
11,3,1.000,0.000,0.000,0.000,0.000,0.000,0
11,4,0.000,0.000,0.000,0.000,0.000,0.000,0
11,5,0.000,0.000,0.000,0.000,0.000,0.000,0
11,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0,0.992,0.008,0.000,0.000,0.000,0.000,0
12,1,0.155,0.842,0.003,0.000,0.000,0.000,0
12,2,0.000,0.155,0.845,0.000,0.000,0.000,0
12,3,0.000,0.000,0.000,1.000,0.000,0.000,0
12,4,0.000,0.000,0.000,0.000,0.000,0.000,0
12,5,0.000,0.000,0.000,0.000,0.000,0.000,0
12,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0,0.993,0.007,0.000,0.000,0.000,0.000,0
13,1,0.000,0.997,0.003,0.000,0.000,0.000,0
13,2,0.000,0.000,1.000,0.000,0.000,0.000,0
13,3,0.000,0.000,0.000,1.000,0.000,0.000,0
13,4,0.000,0.000,0.000,0.000,0.000,0.000,0
13,5,0.000,0.000,0.000,0.000,0.000,0.000,0
13,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0,0.992,0.008,0.000,0.000,0.000,0.000,0
14,1,0.158,0.836,0.006,0.000,0.000,0.000,0
14,2,0.019,0.208,0.774,0.000,0.000,0.000,0
14,3,0.000,0.000,0.500,0.500,0.000,0.000,0
14,4,0.000,0.000,0.000,0.000,0.000,0.000,0
14,5,0.000,0.000,0.000,0.000,0.000,0.000,0
14,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0,1.000,0.000,0.000,0.000,0.000,0.000,0
15,1,0.056,0.944,0.000,0.000,0.000,0.000,0
15,2,0.000,0.130,0.870,0.000,0.000,0.000,0
15,3,0.000,0.000,1.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,0.993,0.007,0.000,0.000,0.000,0.000,0
16,1,0.000,0.990,0.010,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.966,0.034,0.000,0.000,0.000,0.000,0
17,1,0.335,0.652,0.013,0.000,0.000,0.000,0
17,2,0.191,0.298,0.489,0.021,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,1.000,0.000,0.000,0.000,0.000,0.000,0
18,1,0.070,0.930,0.000,0.000,0.000,0.000,0
18,2,0.000,0.031,0.969,0.000,0.000,0.000,0
18,3,0.000,0.000,1.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.060,0.940,0.000,0.000,0.000,0.000,0
19,2,0.000,0.125,0.875,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,0.984,0.016,0.000,0.000,0.000,0.000,0
20,1,0.153,0.824,0.022,0.000,0.000,0.000,0
20,2,0.036,0.357,0.536,0.071,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,0.992,0.008,0.000,0.000,0.000,0.000,0
21,1,0.060,0.928,0.012,0.000,0.000,0.000,0
21,2,0.000,0.077,0.923,0.000,0.000,0.000,0
21,3,0.000,0.000,0.500,0.500,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,1.000,0.000,0.000,0.000,0.000,0.000,0
22,1,0.074,0.926,0.000,0.000,0.000,0.000,0
22,2,0.000,0.194,0.806,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,1.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.767,0.209,0.023,0.001,0.000,0.000,0
23,1,0.538,0.392,0.063,0.007,0.000,0.000,0
23,2,0.560,0.400,0.040,0.000,0.000,0.000,0
23,3,0.000,1.000,0.000,0.000,0.000,0.000,0
