Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
15,1,0.046,0.954,0.000,0.000,0.000,0.000,0
15,2,0.000,0.000,1.000,0.000,0.000,0.000,0
15,3,0.000,0.000,0.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,1.000,0.000,0.000,0.000,0.000,0.000,0
16,1,0.016,0.984,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.971,0.028,0.001,0.000,0.000,0.000,0
17,1,0.259,0.724,0.017,0.000,0.000,0.000,0
17,2,0.067,0.133,0.800,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,0.998,0.002,0.000,0.000,0.000,0.000,0
18,1,0.094,0.906,0.000,0.000,0.000,0.000,0
18,2,0.000,0.130,0.870,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,0.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,0.998,0.002,0.000,0.000,0.000,0.000,0
19,1,0.081,0.916,0.002,0.000,0.000,0.000,0
19,2,0.000,0.050,0.950,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,0.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,0.986,0.014,0.000,0.000,0.000,0.000,0
20,1,0.118,0.873,0.010,0.000,0.000,0.000,0
20,2,0.000,0.200,0.750,0.050,0.000,0.000,0
20,3,0.000,0.000,0.000,0.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,0.998,0.002,0.000,0.000,0.000,0.000,0
21,1,0.035,0.965,0.000,0.000,0.000,0.000,0
21,2,0.000,0.053,0.947,0.000,0.000,0.000,0
21,3,0.000,0.000,1.000,0.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,0,0.999,0.001,0.000,0.000,0.000,0.000,0
22,1,0.044,0.956,0.000,0.000,0.000,0.000,0
22,2,0.000,0.105,0.895,0.000,0.000,0.000,0
22,3,0.000,0.000,0.000,0.000,0.000,0.000,0
22,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0,0.848,0.143,0.009,0.000,0.000,0.000,0
23,1,0.620,0.342,0.038,0.000,0.000,0.000,0
23,2,0.294,0.529,0.176,0.000,0.000,0.000,0
23,3,0.000,0.000,0.000,0.000,0.000,0.000,0
23,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0,0.986,0.014,0.000,0.000,0.000,0.000,0
24,1,0.108,0.882,0.010,0.000,0.000,0.000,0
24,2,0.016,0.246,0.738,0.000,0.000,0.000,0
24,3,0.000,0.000,0.000,0.000,0.000,0.000,0
24,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0,1.000,0.000,0.000,0.000,0.000,0.000,0
25,1,0.032,0.968,0.000,0.000,0.000,0.000,0
25,2,0.000,0.094,0.906,0.000,0.000,0.000,0
25,3,0.000,0.000,0.000,0.000,0.000,0.000,0
25,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,0,0.955,0.045,0.000,0.000,0.000,0.000,0
26,1,0.154,0.814,0.033,0.000,0.000,0.000,0
26,2,0.000,0.250,0.708,0.042,0.000,0.000,0
26,3,0.000,0.000,0.000,0.000,0.000,0.000,0
26,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,0,0.966,0.034,0.000,0.000,0.000,0.000,0
27,1,0.095,0.883,0.022,0.000,0.000,0.000,0
27,2,0.000,0.150,0.833,0.017,0.000,0.000,0
27,3,0.000,0.000,0.000,1.000,0.000,0.000,0
27,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,0,0.992,0.008,0.000,0.000,0.000,0.000,0
28,1,0.072,0.919,0.009,0.000,0.000,0.000,0
28,2,0.000,0.087,0.913,0.000,0.000,0.000,0
28,3,0.000,0.000,0.333,0.667,0.000,0.000,0
28,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0,0.871,0.124,0.006,0.000,0.000,0.000,0
29,1,0.206,0.746,0.049,0.000,0.000,0.000,0
29,2,0.042,0.264,0.681,0.014,0.000,0.000,0
29,3,0.000,0.000,0.500,0.500,0.000,0.000,0
29,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,0,0.960,0.040,0.000,0.000,0.000,0.000,0
30,1,0.081,0.902,0.017,0.000,0.000,0.000,0
30,2,0.009,0.158,0.833,0.000,0.000,0.000,0
30,3,0.000,0.000,0.500,0.500,0.000,0.000,0
30,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,0,0.998,0.002,0.000,0.000,0.000,0.000,0
31,1,0.047,0.949,0.003,0.000,0.000,0.000,0
31,2,0.017,0.085,0.897,0.000,0.000,0.000,0
31,3,0.000,0.000,1.000,0.000,0.000,0.000,0
31,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,0,0.834,0.154,0.011,0.001,0.000,0.000,0
32,1,0.184,0.739,0.076,0.001,0.000,0.000,0
32,2,0.018,0.291,0.655,0.036,0.000,0.000,0
32,3,0.000,0.000,0.000,0.000,0.000,0.000,0
32,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,0,0.929,0.068,0.002,0.000,0.000,0.000,0
33,1,0.103,0.839,0.057,0.001,0.000,0.000,0
33,2,0.005,0.192,0.788,0.015,0.000,0.000,0
33,3,0.000,0.000,0.125,0.875,0.000,0.000,0
33,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,0,0.980,0.020,0.000,0.000,0.000,0.000,0
34,1,0.043,0.940,0.016,0.000,0.000,0.000,0
34,2,0.000,0.126,0.866,0.008,0.000,0.000,0
34,3,0.000,0.000,0.091,0.909,0.000,0.000,0
34,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,0,0.613,0.329,0.056,0.002,0.000,0.000,0
35,1,0.101,0.658,0.220,0.021,0.000,0.000,0
35,2,0.012,0.220,0.612,0.155,0.000,0.000,0
35,3,0.000,0.083,0.167,0.750,0.000,0.000,0
35,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0,0.914,0.081,0.005,0.000,0.000,0.000,0
36,1,0.058,0.892,0.049,0.001,0.000,0.000,0
36,2,0.003,0.126,0.842,0.029,0.000,0.000,0
36,3,0.000,0.070,0.244,0.686,0.000,0.000,0
36,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,0,0.975,0.025,0.000,0.000,0.000,0.000,0
37,1,0.037,0.949,0.014,0.000,0.000,0.000,0
37,2,0.003,0.082,0.906,0.009,0.000,0.000,0
37,3,0.000,0.012,0.062,0.926,0.000,0.000,0
37,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,0,0.653,0.300,0.045,0.002,0.000,0.000,0
38,1,0.097,0.678,0.216,0.009,0.000,0.000,0
38,2,0.020,0.211,0.661,0.108,0.000,0.000,0
38,3,0.012,0.037,0.284,0.667,0.000,0.000,0
38,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,0,0.889,0.106,0.005,0.000,0.000,0.000,0
39,1,0.088,0.833,0.077,0.001,0.000,0.000,0
39,2,0.008,0.196,0.763,0.033,0.000,0.000,0
39,3,0.007,0.027,0.221,0.745,0.000,0.000,0
39,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0,0.975,0.025,0.000,0.000,0.000,0.000,0
40,1,0.038,0.949,0.013,0.000,0.000,0.000,0
40,2,0.003,0.097,0.895,0.005,0.000,0.000,0
40,3,0.000,0.000,0.149,0.851,0.000,0.000,0
40,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0,0.516,0.378,0.098,0.009,0.000,0.000,0
41,1,0.073,0.616,0.282,0.030,0.000,0.000,0
41,2,0.013,0.165,0.669,0.153,0.000,0.000,0
41,3,0.000,0.015,0.311,0.674,0.000,0.000,0
41,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,0,0.916,0.083,0.001,0.000,0.000,0.000,0
42,1,0.072,0.883,0.045,0.001,0.000,0.000,0
42,2,0.005,0.127,0.848,0.020,0.000,0.000,0
42,3,0.000,0.013,0.200,0.787,0.000,0.000,0
42,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,0,0.980,0.020,0.000,0.000,0.000,0.000,0
43,1,0.058,0.928,0.014,0.000,0.000,0.000,0
43,2,0.004,0.106,0.886,0.004,0.000,0.000,0
43,3,0.000,0.007,0.146,0.846,0.000,0.000,0
43,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,0,0.622,0.318,0.058,0.002,0.000,0.000,0
44,1,0.099,0.657,0.227,0.018,0.000,0.000,0
44,2,0.015,0.197,0.678,0.110,0.000,0.000,0
44,3,0.000,0.083,0.256,0.661,0.000,0.000,0
44,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,0,0.919,0.081,0.000,0.000,0.000,0.000,0
45,1,0.113,0.831,0.056,0.001,0.000,0.000,0
45,2,0.010,0.207,0.755,0.029,0.000,0.000,0
45,3,0.000,0.020,0.286,0.694,0.000,0.000,0
45,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,0,0.981,0.019,0.000,0.000,0.000,0.000,0
46,1,0.077,0.913,0.010,0.000,0.000,0.000,0
46,2,0.006,0.147,0.845,0.002,0.000,0.000,0
46,3,0.000,0.007,0.143,0.850,0.000,0.000,0
