Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.997,0.003,0.000,0.000,0.000,0.000,0
1,1,0.061,0.937,0.002,0.000,0.000,0.000,0
1,2,0.010,0.109,0.881,0.000,0.000,0.000,0
1,3,0.000,0.100,0.200,0.700,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,0.000,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.989,0.011,0.000,0.000,0.000,0.000,0
2,1,0.191,0.801,0.008,0.000,0.000,0.000,0
2,2,0.016,0.291,0.687,0.005,0.000,0.000,0
2,3,0.000,0.143,0.571,0.286,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,0.000,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,0.997,0.003,0.000,0.000,0.000,0.000,0
3,1,0.058,0.941,0.001,0.000,0.000,0.000,0
3,2,0.000,0.086,0.914,0.000,0.000,0.000,0
3,3,0.000,0.000,0.000,1.000,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,0.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.054,0.946,0.000,0.000,0.000,0.000,0
4,2,0.000,0.156,0.844,0.000,0.000,0.000,0
4,3,0.000,0.000,0.000,1.000,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.960,0.039,0.001,0.000,0.000,0.000,0
5,1,0.404,0.580,0.016,0.000,0.000,0.000,0
5,2,0.185,0.509,0.306,0.000,0.000,0.000,0
5,3,0.000,0.000,1.000,0.000,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.161,0.839,0.000,0.000,0.000,0.000,0
6,2,0.018,0.304,0.679,0.000,0.000,0.000,0
6,3,0.000,0.000,0.000,0.000,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,0.996,0.004,0.000,0.000,0.000,0.000,0
7,1,0.069,0.930,0.001,0.000,0.000,0.000,0
7,2,0.000,0.026,0.947,0.026,0.000,0.000,0
7,3,0.000,0.000,0.000,0.000,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,0.000,0.000,0
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.991,0.009,0.000,0.000,0.000,0.000,0
8,1,0.145,0.849,0.006,0.000,0.000,0.000,0
8,2,0.000,0.135,0.865,0.000,0.000,0.000,0
8,3,0.000,0.000,1.000,0.000,0.000,0.000,0
8,4,0.000,0.000,0.000,0.000,0.000,0.000,0
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,0.995,0.005,0.000,0.000,0.000,0.000,0
9,1,0.099,0.895,0.007,0.000,0.000,0.000,0
9,2,0.000,0.184,0.816,0.000,0.000,0.000,0
9,3,0.000,0.000,0.000,0.000,0.000,0.000,0
9,4,0.000,0.000,0.000,0.000,0.000,0.000,0
9,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,0,1.000,0.000,0.000,0.000,0.000,0.000,0
10,1,0.033,0.967,0.000,0.000,0.000,0.000,0
10,2,0.029,0.000,0.971,0.000,0.000,0.000,0
10,3,0.000,0.000,0.000,0.000,0.000,0.000,0
10,4,0.000,0.000,0.000,0.000,0.000,0.000,0
10,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,0,0.994,0.006,0.000,0.000,0.000,0.000,0
11,1,0.354,0.644,0.002,0.000,0.000,0.000,0
11,2,0.088,0.529,0.382,0.000,0.000,0.000,0
11,3,0.000,0.000,0.000,0.000,0.000,0.000,0
11,4,0.000,0.000,0.000,0.000,0.000,0.000,0
11,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,0,0.995,0.005,0.000,0.000,0.000,0.000,0
12,1,0.055,0.940,0.005,0.000,0.000,0.000,0
12,2,0.000,0.143,0.857,0.000,0.000,0.000,0
12,3,0.000,0.000,0.000,0.000,0.000,0.000,0
12,4,0.000,0.000,0.000,0.000,0.000,0.000,0
12,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,0,0.997,0.003,0.000,0.000,0.000,0.000,0
13,1,0.047,0.953,0.000,0.000,0.000,0.000,0
13,2,0.000,0.071,0.929,0.000,0.000,0.000,0
13,3,0.000,0.000,0.000,0.000,0.000,0.000,0
13,4,0.000,0.000,0.000,0.000,0.000,0.000,0
13,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,0,0.990,0.010,0.000,0.000,0.000,0.000,0
14,1,0.128,0.864,0.008,0.000,0.000,0.000,0
14,2,0.000,0.308,0.692,0.000,0.000,0.000,0
14,3,0.000,0.000,0.000,0.000,0.000,0.000,0
14,4,0.000,0.000,0.000,0.000,0.000,0.000,0
14,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,0,1.000,0.000,0.000,0.000,0.000,0.000,0
15,1,0.000,1.000,0.000,0.000,0.000,0.000,0
15,2,0.000,0.000,1.000,0.000,0.000,0.000,0
15,3,0.000,0.000,0.000,0.000,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,0.997,0.003,0.000,0.000,0.000,0.000,0
16,1,0.018,0.982,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,0.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.961,0.038,0.001,0.000,0.000,0.000,0
17,1,0.378,0.603,0.020,0.000,0.000,0.000,0
17,2,0.083,0.500,0.417,0.000,0.000,0.000,0
17,3,0.000,0.000,0.000,0.000,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
