Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
15,3,0.000,0.000,0.250,0.750,0.000,0.000,0
15,4,0.000,0.000,0.000,0.000,0.000,0.000,0
15,5,0.000,0.000,0.000,0.000,0.000,0.000,0
15,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0,1.000,0.000,0.000,0.000,0.000,0.000,0
16,1,0.000,1.000,0.000,0.000,0.000,0.000,0
16,2,0.000,0.000,1.000,0.000,0.000,0.000,0
16,3,0.000,0.000,0.000,1.000,0.000,0.000,0
16,4,0.000,0.000,0.000,0.000,0.000,0.000,0
16,5,0.000,0.000,0.000,0.000,0.000,0.000,0
16,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0,0.978,0.022,0.000,0.000,0.000,0.000,0
17,1,0.438,0.545,0.017,0.000,0.000,0.000,0
17,2,0.263,0.474,0.263,0.000,0.000,0.000,0
17,3,0.000,0.333,0.333,0.333,0.000,0.000,0
17,4,0.000,0.000,0.000,0.000,0.000,0.000,0
17,5,0.000,0.000,0.000,0.000,0.000,0.000,0
17,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0,1.000,0.000,0.000,0.000,0.000,0.000,0
18,1,0.000,1.000,0.000,0.000,0.000,0.000,0
18,2,0.000,0.000,1.000,0.000,0.000,0.000,0
18,3,0.000,0.000,0.000,1.000,0.000,0.000,0
18,4,0.000,0.000,0.000,0.000,0.000,0.000,0
18,5,0.000,0.000,0.000,0.000,0.000,0.000,0
18,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,0,1.000,0.000,0.000,0.000,0.000,0.000,0
19,1,0.000,1.000,0.000,0.000,0.000,0.000,0
19,2,0.000,0.000,1.000,0.000,0.000,0.000,0
19,3,0.000,0.000,0.000,1.000,0.000,0.000,0
19,4,0.000,0.000,0.000,0.000,0.000,0.000,0
19,5,0.000,0.000,0.000,0.000,0.000,0.000,0
19,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,0,1.000,0.000,0.000,0.000,0.000,0.000,0
20,1,0.000,1.000,0.000,0.000,0.000,0.000,0
20,2,0.000,0.000,1.000,0.000,0.000,0.000,0
20,3,0.000,0.000,0.000,1.000,0.000,0.000,0
20,4,0.000,0.000,0.000,0.000,0.000,0.000,0
20,5,0.000,0.000,0.000,0.000,0.000,0.000,0
20,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,0,1.000,0.000,0.000,0.000,0.000,0.000,0
21,1,0.000,1.000,0.000,0.000,0.000,0.000,0
21,2,0.000,0.000,1.000,0.000,0.000,0.000,0
21,3,0.000,0.000,0.000,1.000,0.000,0.000,0
21,4,0.000,0.000,0.000,0.000,0.000,0.000,0
21,5,0.000,0.000,0.000,0.000,0.000,0.000,0
21,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
